"SYNAO_IDENT","TSYNAO_IDENT","INGA_IDENT","SYNAO_LIBELLE","SYNAO_ORDRE","SYNAO_OBSOLET"
"167","2","1128","acétates de sodium",,"False"
"168","2","1093","amidon acétylé",,"False"
"169","2","1176","agar-agar",,"False"
"170","2","815","calcium",,"False"
"171","2","871","fer",,"False"
"172","2","1253","silicate d'aluminium",,"False"
"173","2","788","magnésium",,"False"
"174","2","1095","amidon hydroxypropylé",,"False"
"175","2","1142","gallate d'octyle",,"False"
"176","2","819","vitamine E",,"False"
"177","2","1229","carbonates d'ammonium",,"False"
"178","2","845","magnésium",,"False"
"179","2","1171","alginate de sodium",,"False"
"180","2","1065","jaune de quinoléine",,"False"
"182","2","1216","esters tartriques des mono- et diglycérides d'acides gras",,"False"
"183","2","1140","delta-tocophérol",,"False"
"184","2","1143","gallate de dodécyle",,"False"
"185","2","1195","tristéarate de polyoxyéthylène sorbitane (polysorbate 65)",,"False"
"186","2","1241","hydroxyde de calcium",,"False"
"187","2","769","zinc",,"False"
"188","2","823","molybdène",,"False"
"189","2","1135","ascorbate de calcium",,"False"
"190","2","1193","monopalmilate de polyoxyéthylène sorbitane (polysorbate 40)",,"False"
"191","2","703","vitamine B3",,"False"
"192","2","1197","diphosphates",,"False"
"193","2","762","fer",,"False"
"194","2","1263","diglutamate de calcium",,"False"
"195","2","820","vitamine K",,"False"
"196","2","1113","lutéine",,"False"
"197","2","1250","silicate alumino-sodique",,"False"
"198","2","1295","thaumatine",,"False"
"199","2","800","zinc",,"False"
"200","2","743","magnésium",,"False"
"201","2","1257","gluconate de sodium",,"False"
"202","2","833","vitamine A",,"False"
"203","2","853","calcium",,"False"
"204","2","1301","lactitol",,"False"
"205","2","790","sodium",,"False"
"206","2","1226","monopalmitate de sorbitane",,"False"
"207","2","704","silicium",,"False"
"208","2","1213","esters acétiques des mono- et dyglicérides d'acides gras",,"False"
"209","2","1222","monostéarate de sorbitane",,"False"
"210","2","785","iode",,"False"
"211","2","841","vitamine B6",,"False"
"212","2","1134","ascorbate de sodium",,"False"
"213","2","1296","néohespéridine DC",,"False"
"214","2","826","vitamine B1",,"False"
"215","2","1064","tartrazine",,"False"
"216","2","1083","indigotine",,"False"
"217","2","722","manganèse",,"False"
"218","2","727","vitamine B6",,"False"
"219","2","731","magnésium",,"False"
"220","2","1091","phosphate de diamidon acétylé",,"False"
"221","2","746","fer",,"False"
"222","2","1184","gomme karaya",,"False"
"223","2","817","potassium",,"False"
"224","2","1071","polyvinylpolypyrrolidone",,"False"
"225","2","1127","acétate de potassium",,"False"
"226","2","1214","esters lactiques des mono- et diglycérides d'acides gras",,"False"
"227","2","798","cuivre",,"False"
"228","2","827","vitamine B3",,"False"
"229","2","872","fer",,"False"
"230","2","1242","hydroxyde d'ammonium",,"False"
"231","2","1300","maltitol",,"False"
"232","2","1088","phosphate d'amidon",,"False"
"233","2","1121","sorbate de calcium",,"False"
"234","2","1164","malates de sodium",,"False"
"235","2","1170","acide alginique",,"False"
"237","2","824","molybdène",,"False"
"238","2","895","OKG",,"False"
"239","2","1218","esters mixtes acétiques et tartriques des mono- et diglycérides d'acides gras",,"False"
"240","2","1259","gluconate de calcium",,"False"
"241","2","760","fluor",,"False"
"242","2","713","cuivre",,"False"
"243","2","1123","benzoate de sodium",,"False"
"244","2","1155","acide tartrique [L(+)]",,"False"
"245","2","1238","sulfate de calcium",,"False"
"246","2","701","bore",,"False"
"247","2","1153","citrates de potassium",,"False"
"248","2","1235","acide sulfurique",,"False"
"249","2","1122","acide benzoïque",,"False"
"251","2","1073","pullulan",,"False"
"252","2","1283","argon",,"False"
"253","2","776","sélénium",,"False"
"254","2","866","manganèse",,"False"
"255","2","697","vitamine A",,"False"
"256","2","1288","hydrogène",,"False"
"257","2","768","sodium",,"False"
"258","2","766","manganèse",,"False"
"259","2","804","magnésium",,"False"
"260","2","716","zinc",,"False"
"261","2","861","magnésium",,"False"
"262","2","1220","sucroglycérides",,"False"
"264","2","721","magnésium",,"False"
"265","2","868","sodium",,"False"
"266","2","1112","ß-apocarotenal-8' (C30)",,"False"
"267","2","1138","alpha-tocophérol",,"False"
"268","2","1297","glycosides de stéviol",,"False"
"269","2","767","potassium",,"False"
"270","2","1298","néotame",,"False"
"271","2","840","manganèse",,"False"
"272","2","710","potassium",,"False"
"273","2","1228","carbonates de potassium",,"False"
"274","2","867","potassium",,"False"
"275","2","859","vitamine E",,"False"
"276","2","848","vitamine B2",,"False"
"277","2","914","glucosamine",,"False"
"278","2","770","fer",,"False"
"280","2","1124","benzoate de potassium",,"False"
"281","2","1251","silicate alumino-potassique",,"False"
"282","2","1248","silicate de magnésium",,"False"
"283","2","797","vitamine C",,"False"
"284","2","844","calcium",,"False"
"285","2","818","zinc",,"False"
"286","2","856","magnésium",,"False"
"288","2","1118","oxyde et hydroxyde de fer",,"False"
"289","2","1192","monooléate de polyoxyéthylène sorbitane (polysorbate 80)",,"False"
"290","2","816","magnésium",,"False"
"291","2","739","fer",,"False"
"292","2","1190","hémicellulose de soja",,"False"
"293","2","1141","gallate de propyle",,"False"
"294","2","1173","alginate d'ammonium",,"False"
"295","2","1230","carbonates de magnésium",,"False"
"296","2","1278","cire d'abeille",,"False"
"297","2","836","fer",,"False"
"298","2","838","chrome",,"False"
"299","2","873","magnésium",,"False"
"300","2","852","sélénium",,"False"
"301","2","1136","esters d'acides gras de l'acide asorbique",,"False"
"302","2","1186","gomme gellane",,"False"
"303","2","1256","glucano-delta-lactone",,"False"
"304","2","1266","acide guanylique",,"False"
"305","2","1144","butylhydroquinone tertiaire (BHQT)",,"False"
"306","2","1206","éthylméthylcellulose",,"False"
"307","2","1236","sulfates de sodium",,"False"
"308","2","813","calcium",,"False"
"309","2","758","fer",,"False"
"310","2","986","créatine",,"False"
"311","2","1149","lactate de potassium",,"False"
"312","2","1217","esters monoacétyltartrique et diacétyltartrique des mono- et diglycérides d'acides gras",,"False"
"313","2","702","vitamine C",,"False"
"314","2","1079","azorubine",,"False"
"315","2","1158","tartrate double de sodium et de potassium",,"False"
"316","2","1182","gomme d'acacia, gomme arabique",,"False"
"317","2","1273","inosinate de calcium",,"False"
"318","2","1299","sel d’aspartame-acésulfame",,"False"
"319","2","714","magnésium",,"False"
"320","2","720","cuivre",,"False"
"321","2","782","iode",,"False"
"322","2","1082","bleu patenté V",,"False"
"323","2","695","vitamine E",,"False"
"324","2","1161","phosphates de potassium",,"False"
"325","2","1275","5'-ribonucléotide disodique",,"False"
"326","2","1302","xylitol",,"False"
"327","2","774","potassium",,"False"
"328","2","812","sélénium",,"False"
"329","2","1103","caramel au sulfite d'ammonium",,"False"
"330","2","1185","gomme tara",,"False"
"331","2","842","vitamine B6",,"False"
"332","2","725","zinc",,"False"
"333","2","749","vitamine E",,"False"
"334","2","771","calcium",,"False"
"335","2","1075","Copolymère de méthacrylate neutre",,"False"
"336","2","1219","sucroesters d'acides gras",,"False"
"337","2","1280","cire de carnauba",,"False"
